cl_depth,cl_size,cl_count
2,1,6543.34507042
2,2,78964.8732394
2,3,44473.1197183
2,4,37364.5070423
2,5,34227.5
2,6,31978.1408451
2,7,32113.1901408
2,8,31751.943662
2,9,31924.3943662
2,10,30697.4647887
2,11,30590.3028169
2,12,29482.3098592
2,13,29283.3239437
2,14,28204.8732394
2,15,27323.028169
2,16,26163.8309859
2,17,24924.5140845
2,18,23723.4929577
2,19,22334.6338028
2,20,22187.8873239
2,21,21235.2887324
2,22,20263.2394366
2,23,19269.4647887
2,24,18625.8591549
2,25,17535.2112676
2,26,16519.5211268
2,27,15679.0140845
2,28,14860.5070423
2,29,14515.7253521
2,30,13880.915493
2,31,13402.2605634
2,32,12878.6478873
2,33,12478.415493
2,34,12376.0
2,35,11668.556338
2,36,11240.1126761
2,37,10777.6830986
2,38,10445.9859155
2,39,9948.29577465
2,40,9904.78873239
2,41,9243.19014085
2,42,9204.21126761
2,43,8913.71830986
2,44,8907.83098592
2,45,8358.5915493
2,46,8259.26760563
2,47,8005.88732394
2,48,7871.32394366
2,49,7611.56338028
2,50,7119.71830986
2,51,7151.85211268
2,52,6985.94366197
2,53,6699.27464789
2,54,6580.01408451
2,55,6384.26056338
2,56,6327.6056338
2,57,6033.16901408
2,58,6042.21126761
2,59,5983.51408451
2,60,5877.88732394
2,61,5688.03521127
2,62,5583.49295775
2,63,5496.52816901
2,64,5305.23943662
2,65,5110.73943662
2,66,5083.3943662
2,67,4802.76760563
2,68,4816.98591549
2,69,4858.18309859
2,70,4572.67605634
2,71,4552.0
2,72,4393.01408451
2,73,4322.42253521
2,74,4278.45070423
2,75,4310.91549296
2,76,4162.87323944
2,77,4174.26760563
2,78,3981.84507042
2,79,3795.33802817
2,80,3958.87323944
2,81,3717.44366197
2,82,3674.98591549
2,83,3644.98591549
2,84,3665.83098592
2,85,3454.47183099
2,86,3361.87323944
2,87,3524.11267606
2,88,3471.66197183
2,89,3385.76056338
2,90,3321.76056338
2,91,3205.50704225
2,92,3140.30985915
2,93,3048.6971831
2,94,3037.78873239
2,95,3036.65492958
2,96,2957.74647887
2,97,2956.45070423
2,98,2786.09859155
2,99,2866.81690141
2,100,2873.94366197
2,101,2775.36619718
2,102,2709.46478873
2,103,2664.94366197
2,104,2626.36619718
2,105,2726.3028169
2,106,2823.92957746
2,107,2726.99295775
2,108,2763.88732394
2,109,2614.46478873
2,110,2492.81690141
2,111,2583.48591549
2,112,2506.5915493
2,113,2510.66901408
2,114,2433.33802817
2,115,2413.38028169
2,116,2276.70422535
2,117,2283.14788732
2,118,2379.11267606
2,119,2270.21830986
2,120,2387.32394366
2,121,2298.14788732
2,122,2238.09859155
2,123,2245.18309859
2,124,2077.43661972
2,125,2134.68309859
2,126,1979.61971831
2,127,1970.28873239
2,128,1946.14084507
2,129,1953.16901408
2,130,1970.14084507
2,131,1897.65492958
2,132,1868.45070423
2,133,1925.69014085
2,134,1893.92957746
2,135,1915.66901408
2,136,1876.22535211
2,137,1853.35915493
2,138,1897.98591549
2,139,1836.36619718
2,140,1853.52112676
2,141,1958.11267606
2,142,1772.0
2,143,1862.02112676
2,144,1783.77464789
2,145,1830.88028169
2,146,1773.5915493
2,147,1691.53521127
2,148,1654.05633803
2,149,1767.01408451
2,150,1696.47887324
2,151,1623.78169014
2,152,1703.04225352
2,153,1734.71830986
2,154,1684.23943662
2,155,1673.34507042
2,156,1614.92957746
2,157,1587.69014085
2,158,1567.76056338
2,159,1697.49295775
2,160,1548.16901408
2,161,1568.04929577
2,162,1497.92957746
2,163,1553.0915493
2,164,1517.57746479
2,165,1564.01408451
2,166,1462.43661972
2,167,1428.9084507
2,168,1426.81690141
2,169,1431.73943662
2,170,1417.46478873
2,171,1337.8943662
2,172,1326.33802817
2,173,1373.03521127
2,174,1387.09859155
2,175,1329.75352113
2,176,1262.98591549
2,177,1287.61267606
2,178,1254.77464789
2,179,1302.5106383
2,180,1248.5915493
2,181,1260.62676056
2,182,1180.43661972
2,183,1162.43661972
2,184,1161.01408451
2,185,1145.17605634
2,186,1191.97183099
2,187,1251.05633803
2,188,1207.43661972
2,189,1130.00704225
2,190,1150.70422535
2,191,1113.71830986
2,192,1113.87234043
2,193,1141.69014085
2,194,1150.33802817
2,195,1104.53571429
2,196,1153.6
2,197,1180.61267606
2,198,1179.51428571
2,199,1182.62857143
2,200,1160.56338028
2,201,1140.42553191
2,202,1118.87943262
2,203,1140.8028169
2,204,1031.49295775
2,205,1074.78571429
2,206,1044.71428571
2,207,1148.85
2,208,1079.82978723
2,209,1042.03546099
2,210,1041.12676056
2,211,1017.58865248
2,212,1105.10638298
2,213,1024.5
2,214,1068.47142857
2,215,1036.87943262
2,216,1080.0
2,217,1010.6
2,218,996.571428571
2,219,965.450704225
2,220,981.418439716
2,221,1016.6
2,222,975.214285714
2,223,882.374100719
2,224,926.84057971
2,225,895.212765957
2,226,966.231884058
2,227,863.90647482
2,228,937.147058824
2,229,826.035714286
2,230,842.76119403
2,231,861.613138686
2,232,799.299270073
2,233,824.854014599
2,234,813.02189781
2,235,848.705035971
2,236,827.735294118
2,237,789.431654676
2,238,804.335766423
2,239,853.81884058
2,240,881.777777778
2,241,797.977777778
2,242,812.686567164
2,243,863.194029851
2,244,779.395683453
2,245,827.31884058
2,246,822.447761194
2,247,772.103703704
2,248,872.525547445
2,249,856.273381295
2,250,873.188405797
2,251,868.423357664
2,252,869.217391304
2,253,798.066176471
2,254,837.259259259
2,255,834.375
2,256,810.029850746
2,257,799.345588235
2,258,870.517985612
2,259,806.81294964
2,260,821.363636364
2,261,832.060150376
2,262,812.970588235
2,263,833.807407407
2,264,732.262773723
2,265,793.02238806
2,266,722.870229008
2,267,714.738461538
2,268,820.242424242
2,269,734.731343284
2,270,815.955882353
2,271,752.328358209
2,272,828.270676692
2,273,696.76119403
2,274,732.09375
2,275,739.0625
2,276,838.866141732
2,277,700.893939394
2,278,808.338461538
2,279,665.795454545
2,280,700.0
2,281,721.307086614
2,282,787.80952381
2,283,717.372093023
2,284,707.746031746
2,285,718.292682927
2,286,686.4
2,287,659.442748092
2,288,696.0
2,289,744.821138211
2,290,699.147286822
2,291,714.696
2,292,731.168
2,293,689.136
2,294,655.666666667
2,295,734.122137405
2,296,693.983193277
2,297,776.409448819
2,298,701.900826446
2,299,712.4609375
2,300,712.5
2,301,729.624
2,302,690.976
2,303,630.047619048
2,304,699.447154472
2,305,701.5
2,306,700.169491525
2,307,671.726495726
2,308,663.751937984
2,309,676.73553719
2,310,680.546875
2,311,706.338983051
2,312,700.677966102
2,313,608.472
2,314,684.162601626
2,315,600.882352941
2,316,669.491525424
2,317,697.4
2,318,653.189189189
2,319,651.869565217
2,320,677.647058824
2,321,728.194444444
2,322,658.122807018
2,323,720.982142857
2,324,661.728813559
2,325,687.723214286
2,326,660.358974359
2,327,651.0
2,328,647.443478261
2,329,658.0
2,330,668.839285714
2,331,621.785046729
2,332,590.222222222
2,333,732.6
2,334,628.882882883
2,335,695.125
2,336,642.526315789
2,337,677.14953271
2,338,636.235294118
2,339,674.740384615
2,340,668.070175439
2,341,648.508928571
2,342,672.206896552
2,343,691.577235772
2,344,682.068965517
2,345,640.714285714
2,346,666.475409836
2,347,640.155172414
2,348,659.368421053
2,349,639.318584071
2,350,649.029126214
2,351,633.053571429
2,352,681.801801802
2,353,641.229357798
2,354,639.798165138
2,355,603.155339806
2,356,678.273684211
2,357,674.333333333
2,358,624.511111111
2,359,707.121212121
2,360,623.571428571
2,361,607.806122449
2,362,530.933333333
2,363,614.307692308
2,364,633.36
2,365,630.141509434
2,366,651.094736842
2,367,614.019230769
2,368,628.0
2,369,659.489361702
2,370,596.774193548
2,371,588.353535354
2,372,606.714285714
2,373,572.686868687
2,374,611.6
2,375,657.303370787
2,376,600.0
2,377,595.903225806
2,378,558.6
2,379,591.921348315
2,380,540.240963855
2,381,606.489795918
2,382,560.543478261
2,383,596.216494845
2,384,642.694736842
2,385,579.712643678
2,386,620.956521739
2,387,645.0
2,388,605.755102041
2,389,574.453488372
