cl_depth,cl_size,cl_count
2,1,136.095238095
2,2,60698.7460317
2,3,19329.6190476
2,4,4190.0
2,5,1352.1031746
2,6,465.952380952
2,7,234.0
2,8,116.888888889
2,9,23.8571428571
2,10,50.873015873
2,11,26.0158730159
2,12,36.0952380952
2,13,24.0396825397
2,14,28.2222222222
2,15,15.2380952381
2,17,17.0
2,20,20.0
3,1,746.214285714
3,2,8192.80952381
3,3,3107.02380952
3,4,1178.98412698
3,5,563.253968254
3,6,259.761904762
3,7,167.166666667
3,8,125.587301587
3,9,88.1428571429
3,10,84.2857142857
3,11,45.9516129032
3,12,43.6721311475
3,13,38.7833333333
3,14,30.94
3,15,28.2352941176
3,16,33.9259259259
3,17,32.3186813187
3,18,24.6666666667
3,19,27.74
3,20,27.4509803922
3,21,26.775
3,22,28.5405405405
3,23,29.1923076923
3,24,30.2222222222
3,25,30.303030303
3,26,34.6666666667
3,27,28.125
3,28,28.0
3,29,32.0526315789
3,30,31.875
3,31,31.0
3,32,34.6666666667
3,33,39.0
3,34,34.0
3,35,35.0
3,36,36.0
3,37,37.0
3,38,53.2
3,39,46.8
3,40,40.0
3,41,47.8333333333
3,42,42.0
3,43,48.375
3,44,44.0
3,45,45.0
3,46,46.0
3,47,47.0
3,48,48.0
3,49,49.0
3,50,50.0
3,51,51.0
3,52,52.0
3,53,53.0
3,55,55.0
3,56,56.0
3,57,57.0
3,58,58.0
3,59,59.0
3,60,60.0
3,61,61.0
3,62,62.0
3,64,64.0
3,66,66.0
3,67,67.0
3,69,69.0
3,70,70.0
3,71,71.0
3,72,72.0
3,74,74.0
3,75,75.0
3,77,77.0
3,78,78.0
3,79,79.0
3,81,81.0
3,82,82.0
3,83,83.0
3,84,84.0
3,89,89.0
3,90,90.0
3,92,92.0
3,101,101.0
3,107,107.0
3,109,109.0
3,127,127.0
3,131,131.0
3,147,147.0
3,158,158.0
4,1,3933.79365079
4,2,19727.7777778
4,3,17233.452381
4,4,14771.2380952
4,5,13971.547619
4,6,13015.6666667
4,7,12318.6111111
4,8,11869.2063492
4,9,11112.8571429
4,10,10589.8412698
4,11,9881.49206349
4,12,9437.14285714
4,13,8610.84920635
4,14,8111.44444444
4,15,7610.5952381
4,16,7123.17460317
4,17,6677.76190476
4,18,6086.28571429
4,19,5682.80952381
4,20,5376.98412698
4,21,4979.33333333
4,22,4619.3015873
4,23,4248.42857143
4,24,3930.66666667
4,25,3932.93650794
4,26,3650.52380952
4,27,3471.64285714
4,28,3395.11111111
4,29,3274.23809524
4,30,2989.04761905
4,31,2923.5952381
4,32,2779.42857143
4,33,2665.14285714
4,34,2523.82539683
4,35,2451.66666667
4,36,2345.71428571
4,37,2369.17460317
4,38,2258.58730159
4,39,2171.0
4,40,2100.95238095
4,41,2037.96031746
4,42,1903.66666667
4,43,1792.34920635
4,44,1794.22222222
4,45,1701.07142857
4,46,1647.6031746
4,47,1542.04761905
4,48,1502.0952381
4,49,1496.83333333
4,50,1484.12698413
4,51,1477.78571429
4,52,1447.74603175
4,53,1343.08730159
4,54,1328.14285714
4,55,1312.14285714
4,56,1263.11111111
4,57,1328.64285714
4,58,1284.74603175
4,59,1240.87301587
4,60,1248.0952381
4,61,1232.58730159
4,62,1245.41269841
4,63,1189.0
4,64,1162.66666667
4,65,1120.47619048
4,66,1041.33333333
4,67,1055.51587302
4,68,1012.44444444
4,69,955.047619048
4,70,924.444444444
4,71,934.833333333
4,72,886.285714286
4,73,910.182539683
4,74,927.349206349
4,75,939.285714286
4,76,899.333333333
4,77,854.333333333
4,78,867.285714286
4,79,853.325396825
4,80,857.777777778
4,81,829.928571429
4,82,784.857142857
4,83,753.587301587
4,84,762.0
4,85,735.992063492
4,86,733.047619048
4,87,691.166666667
4,88,729.841269841
4,89,673.552
4,90,679.285714286
4,91,680.333333333
4,92,654.222222222
4,93,609.666666667
4,94,624.428571429
4,95,613.73015873
4,96,633.142857143
4,97,545.817460317
4,98,566.832
4,99,568.071428571
4,100,549.6
4,101,543.784
4,102,570.714285714
4,103,543.611111111
