cl_depth,cl_size,cl_count
2,1,136.018867925
2,2,60704.1132075
2,3,19329.4528302
2,4,4193.58490566
2,5,1350.47169811
2,6,474.566037736
2,7,240.971698113
2,8,124.905660377
2,9,25.4716981132
2,10,52.5471698113
2,11,22.6226415094
2,12,37.4716981132
2,13,22.9339622642
2,14,28.2641509434
2,15,15.5660377358
2,17,17.0
2,18,18.0
2,19,19.0
2,20,20.0
2,23,23.0
2,24,24.0
2,25,25.0
2,26,26.0
2,31,31.0
2,32,32.0
2,35,35.0
2,56,56.0
2,60,60.0
2,62,62.0
2,82,82.0
2,90,90.0
3,1,770.273584906
3,2,8226.49056604
3,3,3098.91509434
3,4,1217.47169811
3,5,627.971698113
3,6,312.396226415
3,7,198.377358491
3,8,154.79245283
3,9,79.3867924528
3,10,104.056603774
3,11,71.7075471698
3,12,52.7766990291
3,13,64.6213592233
3,14,46.1538461538
3,15,44.1071428571
3,16,39.4936708861
3,17,35.9125
3,18,39.6923076923
3,19,37.6666666667
3,20,37.2549019608
3,21,46.55
3,22,44.9361702128
3,23,41.6875
3,24,40.2352941176
3,25,41.875
3,26,39.9512195122
3,27,47.4545454545
3,28,40.6451612903
3,29,37.15625
3,30,36.9230769231
3,31,40.5384615385
3,32,56.380952381
3,33,46.75
3,34,42.0952380952
3,35,67.0833333333
3,36,49.8461538462
3,37,41.625
3,38,50.0909090909
3,39,52.0
3,40,50.9090909091
3,41,43.5625
3,42,49.6363636364
3,43,47.3
3,44,50.2857142857
3,45,53.1818181818
3,46,46.0
3,47,52.2222222222
3,48,48.0
3,49,62.0666666667
3,50,50.0
3,51,59.5
3,52,52.0
3,53,53.0
3,54,54.0
3,55,55.0
3,56,63.0
3,57,62.1818181818
3,58,64.4444444444
3,59,59.0
3,60,65.0
3,61,66.0833333333
3,62,67.6363636364
3,63,63.0
3,64,64.0
3,65,65.0
3,66,82.5
3,67,67.0
3,68,68.0
3,69,69.0
3,70,70.0
3,71,71.0
3,72,72.0
3,73,73.0
3,74,74.0
3,75,75.0
3,76,76.0
3,77,77.0
3,78,78.0
3,79,79.0
3,80,80.0
3,82,82.0
3,83,83.0
3,84,84.0
3,85,85.0
3,86,86.0
3,88,88.0
3,89,118.666666667
3,90,90.0
3,91,91.0
3,92,92.0
3,93,93.0
3,95,95.0
3,96,96.0
3,97,97.0
3,98,98.0
3,102,153.0
3,103,103.0
3,104,104.0
3,105,105.0
3,108,108.0
3,111,111.0
3,113,113.0
3,114,114.0
3,115,115.0
3,119,119.0
3,121,121.0
3,122,122.0
3,124,124.0
3,125,125.0
3,127,127.0
3,128,128.0
3,129,129.0
3,130,130.0
3,134,134.0
3,136,136.0
3,138,138.0
3,139,139.0
3,141,141.0
3,145,145.0
3,146,146.0
3,152,152.0
3,156,156.0
3,162,162.0
3,168,168.0
3,172,172.0
3,221,221.0
3,226,226.0
3,232,232.0
3,236,236.0
3,245,245.0
3,258,258.0
3,269,269.0
3,274,274.0
3,281,281.0
4,1,3235.38679245
4,2,12579.7735849
4,3,13472.490566
4,4,12452.7169811
4,5,11827.5943396
4,6,11417.4339623
4,7,11660.9433962
4,8,11385.9622642
4,9,11466.7641509
4,10,11446.6037736
4,11,11135.009434
4,12,10880.8301887
4,13,10504.245283
4,14,10101.3962264
4,15,9568.30188679
4,16,9220.67924528
4,17,8624.61320755
4,18,7852.9245283
4,19,7576.33962264
4,20,7278.30188679
4,21,6969.22641509
4,22,6708.13207547
4,23,6330.64150943
4,24,5932.0754717
4,25,5704.24528302
4,26,5386.90566038
4,27,5115.99056604
4,28,4781.66037736
4,29,4479.95283019
4,30,4396.41509434
4,31,4200.79245283
4,32,4212.83018868
4,33,3885.28301887
4,34,3793.24528302
4,35,3604.33962264
4,36,3543.28301887
4,37,3481.14150943
4,38,3284.49056604
4,39,3214.9245283
4,40,3093.58490566
4,41,3005.76415094
4,42,2871.8490566
4,43,2794.18867925
4,44,2665.73584906
4,45,2716.55660377
4,46,2622.86792453
4,47,2541.99056604
4,48,2492.83018868
4,49,2391.29245283
4,50,2445.75471698
4,51,2368.13207547
4,52,2360.11320755
4,53,2314.0
4,54,2258.32075472
4,55,2089.48113208
4,56,2063.54716981
4,57,2046.08490566
4,58,1928.77358491
4,59,1903.58490566
4,60,1850.94339623
4,61,1783.38679245
4,62,1762.32075472
4,63,1784.20754717
4,64,1776.90566038
4,65,1766.03773585
4,66,1643.1509434
4,67,1670.5754717
4,68,1601.20754717
4,69,1577.23584906
4,70,1526.13207547
4,71,1484.97169811
4,72,1476.0
4,73,1434.51886792
4,74,1442.30188679
4,75,1397.40566038
4,76,1480.56603774
4,77,1412.1509434
4,78,1417.24528302
4,79,1346.72641509
4,80,1383.39622642
4,81,1372.41509434
4,82,1330.56603774
4,83,1375.76415094
4,84,1297.24528302
4,85,1256.55660377
4,86,1274.58490566
4,87,1272.16981132
4,88,1310.03773585
4,89,1300.5754717
4,90,1220.09433962
4,91,1188.1509434
4,92,1202.0754717
4,93,1128.28301887
4,94,1184.75471698
4,95,1126.55660377
4,96,1132.0754717
4,97,1146.61320755
4,98,1128.8490566
4,99,1105.81132075
4,100,1119.81132075
4,101,1104.33018868
4,102,1078.69811321
4,103,1025.14150943
4,104,1035.04761905
4,105,1049.00943396
4,106,992.0
4,107,1048.80188679
4,108,1033.13207547
4,109,1028.30188679
4,110,957.830188679
4,111,1002.14150943
4,112,995.320754717
4,113,988.216981132
4,114,1038.90566038
4,115,1014.38679245
4,116,966.301886792
4,117,1041.96226415
4,118,899.471698113
4,119,919.133333333
4,120,873.962264151
4,121,882.723809524
4,122,909.245283019
4,123,885.367924528
4,124,842.264150943
4,125,887.971698113
4,126,832.075471698
4,127,809.924528302
4,128,798.769230769
4,129,774.0
4,130,764.056603774
4,131,761.283018868
4,132,732.914285714
4,133,772.666666667
4,134,756.326923077
4,135,767.571428571
4,136,739.018867925
4,137,793.295238095
4,138,738.169811321
4,139,740.00952381
4,140,785.940594059
4,141,788.257142857
4,142,727.922330097
4,143,770.0
4,144,705.056603774
4,145,798.19047619
4,146,756.419047619
4,147,788.711538462
4,148,762.990291262
4,149,730.80952381
4,150,693.203883495
4,151,725.392156863
4,152,722.376237624
4,153,675.259615385
4,154,656.764705882
4,155,701.971153846
4,156,667.922330097
4,157,670.67961165
4,158,607.923809524
4,159,778.5
4,160,616.470588235
4,161,586.721153846
4,162,570.24
4,163,550.326732673
4,164,537.183673469
4,165,568.333333333
4,166,543.272727273
4,167,561.578431373
4,168,553.900990099
4,169,551.836734694
4,170,510.0
4,171,489.6
4,172,514.28
4,173,535.051546392
4,174,518.484848485
4,175,557.474226804
4,176,533.443298969
4,177,534.765957447
4,178,499.548387097
4,179,563.378947368
4,180,532.258064516
4,181,537.34375
4,182,562.886597938
4,183,558.432989691
4,184,555.956989247
4,185,543.064516129
4,186,525.402061856
4,187,487.333333333
4,188,497.416666667
4,189,504.649484536
4,190,533.617021277
4,191,521.097826087
4,192,523.636363636
4,193,516.677083333
4,194,555.452631579
4,195,526.914893617
4,196,488.0
4,197,511.314606742
4,198,524.597938144
4,199,556.797979798
4,200,522.105263158
4,201,510.704081633
4,202,487.97752809
4,203,515.307692308
4,204,485.608695652
4,205,472.191011236
4,206,499.326086957
4,207,489.677419355
4,208,551.550561798
4,209,480.010989011
4,210,496.363636364
4,211,492.333333333
4,212,513.136363636
4,213,500.191011236
4,214,493.458823529
4,215,513.611111111
4,216,508.235294118
4,217,525.989130435
4,218,541.325842697
4,219,552.366666667
4,220,520.91954023
4,221,511.38372093
4,222,575.651162791
4,223,529.952941176
4,224,532.622222222
4,225,548.275862069
4,226,493.851851852
4,227,529.666666667
4,228,523.555555556
4,229,478.818181818
4,230,550.357142857
4,231,530.75
4,232,475.456790123
4,233,521.3375
4,234,462.075949367
4,235,536.282051282
4,236,534.933333333
4,237,491.341463415
4,238,515.666666667
4,239,469.148148148
4,240,468.292682927
4,241,503.0875
4,242,480.897435897
4,243,479.848101266
4,244,501.555555556
4,245,471.625
4,246,451.561643836
4,247,432.25
4,248,434.0
4,249,516.043478261
4,250,436.61971831
4,251,449.708333333
4,252,444.5
4,253,475.22972973
4,254,400.136986301
4,255,466.034482759
4,256,458.507462687
4,257,488.3
4,258,426.416666667
4,259,442.927536232
4,260,481.764705882
4,261,445.235294118
4,262,471.6
4,263,427.865671642
4,264,431.619047619
4,265,424.0
4,266,448.4
4,267,439.764705882
4,268,402.0
4,269,472.671428571
4,270,485.084745763
4,271,440.375
4,272,458.105263158
4,273,388.818181818
4,274,474.063492063
4,275,450.0
4,276,477.523809524
4,277,445.178571429
4,278,440.965517241
4,279,410.045454545
4,280,448.0
4,281,400.770491803
4,282,433.846153846
4,283,419.446428571
4,284,392.866666667
4,285,434.076923077
4,286,460.777777778
4,287,447.525423729
4,288,426.461538462
4,289,445.06
4,290,435.0
4,291,453.288461538
4,292,432.384615385
4,293,414.622641509
4,294,408.610169492
4,295,445.0
4,296,433.037037037
4,297,455.080645161
4,298,415.071428571
4,299,391.793103448
4,300,501.639344262
4,301,448.859649123
4,302,446.96
4,303,435.5625
4,304,450.153846154
4,305,449.745762712
4,306,446.857142857
4,307,439.568181818
4,308,472.266666667
4,309,431.534482759
4,310,422.727272727
4,311,457.698113208
4,312,453.142857143
4,313,431.113207547
4,314,471.0
4,315,457.641509434
4,316,457.655172414
4,317,462.291666667
4,318,419.181818182
4,319,423.163265306
4,320,472.380952381
4,321,477.76744186
4,322,444.666666667
4,323,471.041666667
4,324,450.43902439
4,325,449.468085106
4,326,457.787234043
4,327,430.263157895
4,328,452.64
4,329,441.552631579
4,330,426.25
4,331,452.097560976
4,332,390.588235294
4,333,412.630434783
4,334,442.744186047
4,335,428.8
4,336,470.4
4,337,415.372093023
4,338,479.488372093
4,339,477.367346939
4,340,420.952380952
4,341,413.553191489
4,342,456.0
4,343,385.875
4,344,427.902439024
4,345,447.567567568
4,346,438.266666667
4,347,470.377777778
4,348,448.533333333
4,349,397.697674419
4,350,439.743589744
4,351,461.842105263
4,352,408.32
4,353,419.783783784
4,354,451.655172414
4,355,470.375
4,356,447.282051282
4,357,448.14893617
4,358,435.215686275
4,359,502.6
4,360,470.769230769
4,361,431.194444444
4,362,474.622222222
4,363,471.9
4,364,518.893617021
4,365,524.6875
4,366,474.810810811
4,367,489.333333333
4,368,473.142857143
4,369,401.558823529
4,370,422.857142857
4,371,434.6
4,372,457.846153846
4,373,460.29787234
4,374,467.5
4,375,458.333333333
4,376,504.181818182
4,377,446.447368421
4,378,479.414634146
4,379,530.6
4,380,475.0
4,381,526.142857143
4,382,525.25
4,383,450.588235294
4,384,458.322580645
4,385,476.184210526
4,386,550.05
4,387,516.0
4,388,443.428571429
4,389,479.766666667
4,390,546.0
4,391,521.333333333
4,392,531.096774194
4,393,480.333333333
4,394,500.486486486
4,395,485.285714286
4,396,480.0
4,397,496.25
4,398,566.848484848
4,399,501.967741935
4,400,526.315789474
4,401,543.577777778
4,402,488.918918919
4,403,516.34375
4,404,456.129032258
4,405,460.862068966
4,406,558.25
4,407,519.275862069
4,408,468.0
4,409,545.333333333
4,410,476.486486486
4,411,520.6
4,412,549.333333333
4,413,472.0
4,414,514.975609756
4,415,524.210526316
4,416,505.945945946
4,417,551.035714286
4,418,443.333333333
4,419,472.717948718
4,420,509.090909091
4,421,548.575757576
4,422,506.4
4,423,487.090909091
4,424,565.333333333
4,425,562.837837838
4,426,550.25
4,427,495.870967742
4,428,559.692307692
4,429,429.0
4,430,485.483870968
4,431,447.576923077
4,432,500.210526316
4,433,537.96969697
4,434,482.222222222
4,435,557.692307692
4,436,515.272727273
4,437,481.820512821
4,438,551.555555556
4,439,569.513513514
4,440,490.769230769
4,441,511.56
4,442,544.0
4,443,506.285714286
4,444,532.8
4,445,547.692307692
4,446,532.722222222
4,447,554.896551724
4,448,516.923076923
4,449,564.870967742
4,450,562.5
4,451,547.642857143
4,452,529.931034483
4,453,540.677419355
4,454,476.7
4,455,546.0
4,456,484.5
4,457,502.7
4,458,485.757575758
4,459,477.36
4,460,534.594594595
4,461,534.76
4,462,541.655172414
4,463,652.409090909
4,464,486.095238095
4,465,499.444444444
4,466,555.615384615
4,467,533.714285714
4,468,618.428571429
4,469,533.689655172
4,470,524.230769231
4,471,559.3125
4,472,585.931034483
4,473,551.833333333
4,474,641.294117647
4,475,538.333333333
4,476,647.36
4,477,532.038461538
4,478,588.307692308
4,479,562.304347826
4,480,584.347826087
4,481,516.62962963
4,482,591.545454545
4,483,538.730769231
4,484,665.5
4,485,561.578947368
4,486,486.0
4,487,622.277777778
4,488,551.652173913
4,489,489.0
4,490,514.5
4,491,524.862068966
4,492,514.363636364
4,493,493.0
4,494,524.875
4,495,569.25
4,496,496.0
4,497,552.222222222
4,498,588.545454545
4,499,614.153846154
4,500,692.307692308
4,501,534.4
4,502,502.0
4,503,574.857142857
4,504,546.0
4,505,649.285714286
4,506,537.625
4,507,603.571428571
4,508,592.666666667
4,509,545.357142857
4,510,561.0
4,511,638.75
4,512,532.48
4,513,598.5
4,514,514.0
4,515,542.105263158
4,516,774.0
4,517,544.210526316
4,518,546.777777778
4,519,588.2
4,520,617.5
4,521,548.421052632
4,522,730.8
4,523,543.92
4,524,598.857142857
4,525,609.0
4,526,581.368421053
4,527,527.0
4,528,633.6
4,529,604.571428571
4,530,530.0
4,531,560.5
4,532,567.466666667
4,533,632.9375
4,534,667.5
4,535,573.214285714
4,536,620.631578947
4,537,690.428571429
4,538,645.6
4,539,616.0
4,540,702.0
4,541,577.066666667
4,542,583.692307692
4,543,576.9375
4,544,578.0
4,545,594.545454545
4,546,585.0
4,547,696.181818182
4,548,548.0
4,549,603.9
4,550,660.0
4,551,612.222222222
4,552,602.181818182
4,553,737.333333333
4,554,800.222222222
4,555,555.0
4,556,593.066666667
4,557,587.944444444
4,558,558.0
4,559,731.0
4,560,634.666666667
4,561,623.333333333
4,562,562.0
4,563,622.263157895
4,564,595.333333333
4,565,719.090909091
4,566,646.857142857
4,567,567.0
4,568,568.0
4,569,644.866666667
4,570,597.142857143
4,571,647.133333333
4,572,600.6
4,573,633.315789474
4,574,574.0
4,575,675.0
4,576,658.285714286
4,577,649.125
4,578,646.0
4,579,661.714285714
4,580,580.0
4,581,703.315789474
4,582,611.1
4,583,583.0
4,584,693.5
4,585,626.785714286
4,586,654.941176471
4,587,623.6875
4,588,672.0
4,589,746.066666667
4,590,663.75
4,591,591.0
4,592,592.0
4,593,593.0
4,594,668.25
4,595,595.0
4,596,596.0
4,597,642.923076923
4,598,637.866666667
4,599,816.818181818
4,600,700.0
4,601,601.0
4,602,602.0
4,603,643.2
4,604,717.25
4,605,605.0
4,606,606.0
4,607,809.333333333
4,608,718.545454545
4,609,609.0
4,610,677.777777778
4,611,611.0
4,612,734.4
4,613,689.625
4,614,654.933333333
4,615,615.0
4,616,616.0
4,617,617.0
4,618,618.0
4,619,619.0
4,620,620.0
4,621,621.0
4,622,678.545454545
4,623,623.0
4,624,676.0
4,625,681.818181818
4,626,682.909090909
4,627,627.0
4,628,628.0
4,629,629.0
4,630,682.5
4,631,688.363636364
4,632,737.333333333
4,633,738.5
4,634,760.8
4,635,692.727272727
4,636,715.5
4,637,672.388888889
4,638,696.0
4,639,798.75
4,640,693.333333333
4,641,641.0
4,642,706.2
4,643,643.0
4,644,644.0
4,645,725.625
4,646,717.777777778
4,647,693.214285714
4,648,765.818181818
4,649,741.714285714
4,650,722.222222222
4,651,744.0
4,652,652.0
4,653,816.25
4,654,654.0
4,655,655.0
4,656,656.0
4,657,657.0
4,658,767.666666667
4,659,790.8
4,660,660.0
4,661,661.0
4,662,662.0
4,663,663.0
4,664,830.0
4,665,665.0
4,666,832.5
4,667,667.0
4,668,668.0
4,669,669.0
4,670,670.0
4,671,754.875
4,672,784.0
4,673,807.6
4,674,674.0
4,675,675.0
4,676,676.0
4,677,677.0
4,678,678.0
4,679,679.0
4,680,680.0
4,681,681.0
4,682,779.428571429
4,683,796.833333333
4,684,684.0
4,685,685.0
4,686,686.0
4,687,824.4
4,688,688.0
4,689,689.0
4,690,690.0
4,691,691.0
4,692,692.0
4,693,693.0
4,694,694.0
4,695,695.0
4,696,696.0
4,697,755.083333333
4,698,698.0
4,699,699.0
4,700,700.0
4,701,701.0
4,702,702.0
4,703,766.909090909
4,704,704.0
4,705,822.5
4,706,706.0
4,707,707.0
4,708,786.666666667
4,709,709.0
4,710,798.75
4,711,711.0
4,712,712.0
4,713,713.0
4,714,714.0
4,715,715.0
4,716,716.0
4,717,717.0
4,718,718.0
4,719,719.0
4,720,720.0
4,721,841.166666667
4,722,722.0
4,723,803.333333333
4,724,724.0
4,725,725.0
4,726,726.0
4,727,727.0
4,728,728.0
4,729,911.25
4,730,851.666666667
4,731,731.0
4,732,732.0
4,733,733.0
4,734,734.0
4,735,735.0
4,736,736.0
4,737,737.0
4,738,738.0
4,739,739.0
4,740,740.0
4,741,741.0
4,742,742.0
4,743,743.0
4,744,744.0
4,745,745.0
4,746,746.0
4,747,747.0
4,748,748.0
4,749,749.0
4,750,750.0
4,751,858.285714286
4,752,752.0
4,753,753.0
4,754,754.0
4,755,1132.5
4,756,756.0
4,757,757.0
4,758,758.0
4,759,759.0
4,760,760.0
4,761,761.0
4,762,762.0
4,763,763.0
4,764,764.0
4,766,766.0
4,767,767.0
4,768,768.0
4,769,769.0
4,770,770.0
4,771,771.0
4,772,772.0
4,773,773.0
4,774,774.0
4,775,775.0
4,776,776.0
4,777,777.0
4,778,778.0
4,779,779.0
4,780,780.0
4,781,1041.33333333
4,782,782.0
4,783,783.0
4,784,784.0
4,785,785.0
4,786,786.0
4,787,787.0
4,788,788.0
4,789,789.0
4,790,790.0
4,791,791.0
4,792,792.0
4,793,793.0
4,794,794.0
4,795,795.0
4,796,796.0
4,797,797.0
4,798,798.0
4,799,799.0
4,800,800.0
4,801,801.0
4,802,802.0
4,803,803.0
4,804,804.0
4,805,805.0
4,806,806.0
4,807,807.0
4,808,808.0
4,809,809.0
4,810,810.0
4,811,1081.33333333
4,812,812.0
4,813,813.0
4,814,814.0
4,815,815.0
4,816,816.0
4,817,817.0
4,818,818.0
4,819,819.0
4,820,820.0
4,821,821.0
4,822,822.0
4,823,823.0
4,825,825.0
4,826,826.0
4,827,827.0
4,828,828.0
4,829,829.0
4,830,830.0
4,831,831.0
4,832,832.0
4,833,833.0
4,834,834.0
4,835,835.0
4,836,836.0
4,837,837.0
4,838,838.0
4,839,839.0
4,840,840.0
4,841,841.0
4,842,842.0
4,843,843.0
4,844,844.0
4,845,950.625
4,846,846.0
4,847,847.0
4,848,848.0
4,849,943.333333333
4,850,850.0
4,851,851.0
4,852,852.0
4,853,974.857142857
4,854,854.0
4,855,855.0
4,856,856.0
4,857,857.0
4,858,858.0
4,859,1288.5
4,860,860.0
4,861,861.0
4,862,862.0
4,863,970.875
4,864,864.0
4,865,865.0
4,866,866.0
4,867,867.0
4,868,868.0
4,869,869.0
4,870,870.0
4,871,871.0
4,872,872.0
4,873,873.0
4,874,874.0
4,875,875.0
4,876,876.0
4,877,877.0
4,878,878.0
4,879,879.0
4,880,880.0
4,881,881.0
4,882,882.0
4,883,883.0
4,884,884.0
4,885,1062.0
4,886,886.0
4,887,887.0
4,888,888.0
4,889,889.0
4,890,890.0
4,891,891.0
4,892,892.0
4,893,893.0
4,894,894.0
4,895,895.0
4,896,896.0
4,897,897.0
4,898,898.0
4,899,899.0
4,900,900.0
4,901,901.0
4,902,902.0
4,903,903.0
4,904,904.0
4,906,906.0
4,907,907.0
4,908,908.0
4,909,909.0
4,910,910.0
4,911,911.0
4,912,912.0
4,913,913.0
4,914,914.0
4,915,915.0
4,916,916.0
4,917,917.0
4,918,918.0
4,919,919.0
4,920,920.0
4,921,921.0
4,922,922.0
4,923,923.0
4,924,924.0
4,925,925.0
4,926,926.0
4,927,927.0
4,928,928.0
4,929,929.0
4,930,930.0
4,931,1241.33333333
4,932,932.0
4,933,933.0
4,934,934.0
4,935,935.0
4,936,936.0
4,937,937.0
4,938,938.0
4,939,939.0
4,940,940.0
4,941,941.0
4,942,942.0
4,944,944.0
4,946,946.0
4,948,948.0
4,949,949.0
4,950,950.0
4,951,951.0
4,952,952.0
4,953,953.0
4,954,954.0
4,956,956.0
4,957,957.0
4,959,959.0
4,960,960.0
4,961,961.0
4,962,962.0
4,963,963.0
4,965,965.0
4,966,966.0
4,967,967.0
4,968,968.0
4,969,969.0
4,970,970.0
4,971,971.0
4,972,972.0
4,973,973.0
4,974,974.0
4,976,976.0
4,977,977.0
4,978,978.0
4,979,979.0
4,980,980.0
4,983,983.0
4,984,984.0
4,985,985.0
4,986,986.0
4,987,987.0
4,988,988.0
4,989,989.0
4,990,990.0
4,992,992.0
4,993,993.0
4,994,994.0
4,996,996.0
4,997,997.0
4,998,998.0
4,1000,1000.0
4,1001,1001.0
4,1002,1002.0
4,1003,1003.0
4,1004,1004.0
4,1005,1005.0
4,1007,1007.0
4,1008,1008.0
4,1009,1009.0
4,1010,1010.0
4,1011,1011.0
4,1012,1012.0
4,1016,1016.0
4,1017,1017.0
4,1018,1018.0
4,1019,1019.0
4,1020,1020.0
4,1022,1022.0
4,1023,1023.0
4,1024,1024.0
4,1025,1025.0
4,1026,1026.0
4,1027,1027.0
4,1029,1029.0
4,1030,1030.0
4,1031,1031.0
4,1032,1032.0
4,1033,1033.0
4,1034,1034.0
4,1035,1035.0
4,1036,1036.0
4,1037,1037.0
4,1038,1038.0
4,1039,1039.0
4,1040,1040.0
4,1041,1041.0
4,1042,1042.0
4,1043,1043.0
4,1044,1044.0
4,1045,1045.0
4,1047,1047.0
4,1048,1048.0
4,1049,1049.0
4,1051,1051.0
4,1052,1052.0
4,1053,1053.0
4,1055,1055.0
4,1056,1056.0
4,1057,1057.0
4,1059,1059.0
4,1060,1060.0
4,1061,1061.0
4,1062,1062.0
4,1063,1063.0
4,1064,1064.0
4,1065,1065.0
4,1068,1068.0
4,1070,1070.0
4,1071,1071.0
4,1074,1074.0
4,1077,1077.0
4,1078,1078.0
4,1080,1080.0
4,1082,1082.0
4,1083,1083.0
4,1085,1085.0
4,1086,1086.0
4,1089,1089.0
4,1090,1090.0
4,1091,1091.0
4,1092,1092.0
4,1093,1093.0
4,1094,1094.0
4,1096,1096.0
4,1097,1097.0
4,1099,1099.0
4,1101,1101.0
4,1102,1102.0
4,1103,1103.0
4,1104,2208.0
4,1105,1105.0
4,1106,1106.0
4,1107,1107.0
4,1110,1110.0
4,1111,1111.0
4,1113,1113.0
4,1114,1114.0
4,1116,1116.0
4,1117,1117.0
4,1120,1120.0
4,1125,1125.0
4,1128,1128.0
4,1129,1129.0
4,1130,1130.0
4,1132,1132.0
4,1133,1133.0
4,1135,1135.0
4,1137,1137.0
4,1138,1138.0
4,1142,1142.0
4,1143,1143.0
4,1145,1145.0
4,1146,1146.0
4,1147,1147.0
4,1148,1148.0
4,1149,1149.0
4,1150,1150.0
4,1151,1151.0
4,1152,1152.0
4,1155,1155.0
4,1156,1156.0
4,1157,1157.0
4,1158,1158.0
4,1159,1159.0
4,1160,1160.0
4,1162,1162.0
4,1164,1164.0
4,1166,1166.0
4,1167,1167.0
4,1170,1170.0
4,1171,1171.0
4,1172,1172.0
4,1173,1173.0
4,1174,1174.0
4,1176,1176.0
4,1179,1179.0
4,1184,1184.0
